,summary,config,name
0,"{'_step': 174, '_wandb': {'runtime': 62}, '_runtime': 64.37011551856995, 'tst loss': 0.8492, '_trn loss': 0.8062, '_val loss': 0.9108, '_timestamp': 1684219181.6171126, 'acc': 0.6666666666666666}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M7002
1,"{'_runtime': 36.27585220336914, 'tst loss': 1.1293, '_trn loss': 0.9612, '_val loss': 0.9535, '_timestamp': 1684219112.7277112, 'acc': 0.35353535353535354, '_step': 94, '_wandb': {'runtime': 34}}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M7001
2,"{'_val loss': 1.0678, '_timestamp': 1684219072.2801242, 'acc': 0.390909090909091, '_step': 47, '_wandb': {'runtime': 18}, '_runtime': 19.61694312095642, 'tst loss': 1.0935, '_trn loss': 1.0104}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M6003
3,"{'acc': 0.925925925925926, '_step': 40, '_wandb': {'runtime': 16}, '_runtime': 17.60954523086548, 'tst loss': 0.8629, '_trn loss': 1.0304, '_val loss': 1.0842, '_timestamp': 1684219048.4850633}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M6002
4,"{'acc': 0.39361702127659576, '_step': 11, '_wandb': {'runtime': 5}, '_runtime': 7.436426162719727, 'tst loss': 1.0675, '_trn loss': 1.0731, '_val loss': 1.0809, '_timestamp': 1684219026.557913}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M6001
5,"{'_val loss': 1.0619, '_timestamp': 1684219014.9268742, 'acc': 0.6883116883116883, '_step': 83, '_wandb': {'runtime': 32}, '_runtime': 33.57856726646423, 'tst loss': 0.6917, '_trn loss': 0.9673}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M5002
6,"{'tst loss': 1.1596, '_trn loss': 1.1166, '_val loss': 1.0761, '_timestamp': 1684218977.8220477, 'acc': 0.13333333333333333, '_step': 16, '_wandb': {'runtime': 9}, '_runtime': 11.25128960609436}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M7002
7,"{'_timestamp': 1684218962.0921514, 'acc': 0.46464646464646464, '_step': 17, '_wandb': {'runtime': 10}, '_runtime': 12.375771522521973, 'tst loss': 1.0676, '_trn loss': 1.1092, '_val loss': 1.1452}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M7001
8,"{'tst loss': 1.1066, '_trn loss': 1.099, '_val loss': 1.1184, '_timestamp': 1684218940.0453746, 'acc': 0.2545454545454545, '_step': 11, '_wandb': {'runtime': 6}, '_runtime': 8.286375522613525}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M6003
9,"{'tst loss': 1.0264, '_trn loss': 0.9527, '_val loss': 1.0362, '_timestamp': 1684218975.8847103, 'acc': 0.5769230769230769, '_step': 96, '_wandb': {'runtime': 43}, '_runtime': 45.38893842697144}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M5001
10,"{'_val loss': 1.1288, '_timestamp': 1684218927.5115452, 'acc': 0.018518518518518517, '_step': 11, '_wandb': {'runtime': 6}, '_runtime': 8.35591721534729, 'tst loss': 1.2183, '_trn loss': 1.1038}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M6002
11,"{'_runtime': 25.27908492088318, 'tst loss': 0.8573, '_trn loss': 1.0136, '_val loss': 1.0832, '_timestamp': 1684218925.9856749, 'acc': 0.7102803738317757, '_step': 49, '_wandb': {'runtime': 23}}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M4002
12,"{'_runtime': 37.141804933547974, 'tst loss': 1.0718, '_trn loss': 1.0601, '_val loss': 1.0935, '_timestamp': 1684218914.441709, 'acc': 0.5851063829787234, '_step': 78, '_wandb': {'runtime': 35}}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M6001
13,"{'_wandb': {'runtime': 35}, '_runtime': 37.54725408554077, 'tst loss': 1.1554, '_trn loss': 0.9476, '_val loss': 1.099, '_timestamp': 1684218896.362719, 'acc': 0.16842105263157894, '_step': 74}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M4001
14,"{'tst loss': 1.097, '_trn loss': 1.016, '_val loss': 1.0906, '_timestamp': 1684218854.085346, 'acc': 0.3163265306122449, '_step': 44, '_wandb': {'runtime': 23}, '_runtime': 25.065703868865967}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M2003
15,"{'_trn loss': 1.0676, '_val loss': 1.0871, '_timestamp': 1684218873.261353, 'acc': 0.33766233766233766, '_step': 100, '_wandb': {'runtime': 44}, '_runtime': 45.697521924972534, 'tst loss': 1.107}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M5002
16,"{'_timestamp': 1684218823.28147, 'acc': 0.6442307692307693, '_step': 20, '_wandb': {'runtime': 11}, '_runtime': 13.447844982147217, 'tst loss': 1.059, '_trn loss': 1.0836, '_val loss': 1.0772}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M5001
17,"{'_runtime': 53.080440521240234, 'tst loss': 1.1013, '_trn loss': 0.9212, '_val loss': 1.0497, '_timestamp': 1684218824.2686546, 'acc': 0.4752475247524752, '_step': 105, '_wandb': {'runtime': 51}}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M2002
18,"{'_step': 11, '_wandb': {'runtime': 8}, '_runtime': 10.09578251838684, 'tst loss': 1.1028, '_trn loss': 1.0839, '_val loss': 1.0998, '_timestamp': 1684218766.5388064, 'acc': 0.11458333333333331}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M2001
19,"{'tst loss': 1.0011, '_trn loss': 1.0315, '_val loss': 1.0939, '_timestamp': 1684218805.2964675, 'acc': 0.7383177570093458, '_step': 125, '_wandb': {'runtime': 54}, '_runtime': 56.367276430130005}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M4002
